edf_file,participant_id,task
ASSRart_01_1_20191118_035127.edf,1,ASSR40HzHeadphones
ASSRart_01_2_20191118_035726.edf,1,ASSR40HzSpeakers
ASSRart_01_3_20191118_040228.edf,1,ASSR40HzSpeakersArtifact
ASSRart_02_1_20191120_032615.edf,2,ASSR40HzHeadphones
ASSRart_02_2_20191120_033150.edf,2,ASSR40HzSpeakers
ASSRart_02_3_20191120_033658.edf,2,ASSR40HzSpeakersArtifact
ASSRart_04_1_20191121_083131.edf,4,ASSR40HzHeadphones
ASSRart_04_2_20191121_083557.edf,4,ASSR40HzSpeakers
ASSRart_04_3_20191121_084043.edf,4,ASSR40HzSpeakersArtifact
ASSRart_05_1_20191121_094003.edf,5,ASSR40HzHeadphones
ASSRart_05_2_20191121_094502.edf,5,ASSR40HzSpeakers
ASSRart_05_3_20191121_094938.edf,5,ASSR40HzSpeakersArtifact
ASSRart_06_1_20191121_103555.edf,6,ASSR40HzHeadphones
ASSRart_06_2_20191121_104022.edf,6,ASSR40HzSpeakers
ASSRart_06_3_20191121_104447.edf,6,ASSR40HzSpeakersArtifact
ASSRart_07_1_20191121_110705.edf,7,ASSR40HzHeadphones
ASSRart_07_2_20191121_111141.edf,7,ASSR40HzSpeakers
ASSRart_07_3_20191121_111631.edf,7,ASSR40HzSpeakersArtifact
ASSRart_08_1_20191127_035404.edf,8,ASSR40HzHeadphones
ASSRart_08_2_20191127_035900.edf,8,ASSR40HzSpeakers
ASSRart_08_3_20191127_040345.edf,8,ASSR40HzSpeakersArtifact
ASSRart_09_1_20191127_043025.edf,9,ASSR40HzHeadphones
ASSRart_09_2_20191127_043507.edf,9,ASSR40HzSpeakers
ASSRart_09_3_20191127_043939.edf,9,ASSR40HzSpeakersArtifact
ASSRart_10_1_20191127_065036.edf,10,ASSR40HzHeadphones
ASSRart_10_2_20191127_065519.edf,10,ASSR40HzSpeakers
ASSRart_10_3_20191127_070003.edf,10,ASSR40HzSpeakersArtifact
ASSRart_11_1_20191127_072551.edf,11,ASSR40HzHeadphones
ASSRart_11_2_20191127_073027.edf,11,ASSR40HzSpeakers
ASSRart_11_3_20191127_073552.edf,11,ASSR40HzSpeakersArtifact
ASSRart_12_1_20191129_092920.edf,12,ASSR40HzHeadphones
ASSRart_12_2_20191129_093406.edf,12,ASSR40HzSpeakers
ASSRart_12_3_20191129_093840.edf,12,ASSR40HzSpeakersArtifact
ASSRart_13_1_20191129_012710.edf,13,ASSR40HzHeadphones
ASSRart_13_2_20191129_013228.edf,13,ASSR40HzSpeakers
ASSRart_13_3_20191129_013715.edf,13,ASSR40HzSpeakersArtifact
ASSRart_15_1_20191129_024338.edf,15,ASSR40HzHeadphones
ASSRart_15_2_20191129_024813.edf,15,ASSR40HzSpeakers
ASSRart_15_3_20191129_025307.edf,15,ASSR40HzSpeakersArtifact
ASSRart_16_1_20191129_032807.edf,16,ASSR40HzHeadphones
ASSRart_16_2_20191129_033258.edf,16,ASSR40HzSpeakers
ASSRart_16_3_20191129_033739.edf,16,ASSR40HzSpeakersArtifact
ASSRart_17_1_20191129_045203.edf,17,ASSR40HzHeadphones
ASSRart_17_2_20191129_045703.edf,17,ASSR40HzSpeakers
ASSRart_17_3_20191129_050132.edf,17,ASSR40HzSpeakersArtifact
